
T-1976	postmenopausal	postmenopausal	women	women		
T-1976	plant-based	plant-based	heart disease	heart disease	foods for women’s health:women at high risk for	
T-1976	breast cancer	breast cancer	cancer	cancer	—as many as 37% of breast	
T-1976	mint	mint	testosterone	testosterone	tea has been found to lower	
T-1976	disease	disease	peanut butter	peanut butter	who eat	
T-1976	plant-based	plant-based	women	women	foods for	
T-1976	apples	apples	cholesterol	cholesterol	may reduce ldl	
T-1976	ibuprofen	ibuprofen	steroid hormones	steroid hormones	in reducing menstrual cramps.the sex	
T-1976	ibuprofen	ibuprofen	hormones	hormones	in reducing menstrual cramps.the sex steroid	
T-1976	ldl cholesterol	ldl cholesterol	postmenopausal	postmenopausal	in	
T-1976	cancer	cancer	breast cancer	breast cancer	—as many as 37% of	
T-1976	testosterone	testosterone	syndrome	syndrome	in women with polycystic ovarian	
T-1976	mint tea	mint tea	women	women	has been found to lower testosterone in	
T-1976	steroid hormones	steroid hormones	infertility	infertility	in meat have been associated with female	
T-1976	heart attack	heart attack	women	women	than	
T-1976	plant-based	plant-based	infections	infections	diets may help prevent genitourinary	
T-1976	nausea	nausea	vomiting	vomiting	and	
T-1976	meat	meat	infertility	infertility	have been associated with female	
T-1976	bovine leukemia virus	bovine leukemia virus	dna	dna		
T-1976	cholesterol	cholesterol	postmenopausal	postmenopausal	in	
T-1976	heart disease	heart disease	peanut butter	peanut butter	who eat	
T-1976	testosterone	testosterone	women	women	in	
T-1976	ldl	ldl	cholesterol	cholesterol		
T-1976	dried apples	dried apples	ldl	ldl	may reduce	
T-1976	women	women	peanut	peanut	who do not eat	
T-1976	symptoms	symptoms	skin	skin	related to cancers of the vulva,	
T-1976	cancer	cancer	cancer	cancer	—as many as 37% of breast	
T-1976	heart attack	heart attack	peanut butter	peanut butter	than women who do not eat	
T-1976	leukemia	leukemia	dna	dna	virus	
