
T-1699	risk	risk	cataracts	cataracts	factor for coronary disease, alzheimer’s, abdominal aortic aneurysm,	
T-1699	curcumin	curcumin	mutations	mutations	(found in turmeric) may decrease dna	
T-1699	cancer	cancer	risk	risk		
T-1699	risk	risk	aneurysm	aneurysm	factor for coronary disease, alzheimer’s, abdominal aortic	
T-1699	lung cancer	lung cancer	risk	risk	cases and is a	
T-1699	lung cancer	lung cancer	marijuana	marijuana	risk, smoking a single joint of	
T-1699	diet	diet	chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	may help prevent	
T-1699	tea	tea	smoking	smoking	may help mitigate the risks of	
T-1699	mortality	mortality	risk	risk		
T-1699	dna	dna	smoking	smoking	mutations caused by	
T-1699	medications	medications	risk	risk	: for example, lifestyle can reduce cardiovascular disease	
T-1699	diet	diet	smoking	smoking	has bumped	
T-1699	nitrosamines	nitrosamines	cigarettes	cigarettes	and nitrosamides as five	
T-1699	curcumin	curcumin	dna	dna	(found in turmeric) may decrease	
T-1699	risk	risk	fruit	fruit	factor comparable to smoking.dietary interventions, including increased	
T-1699	plant-based	plant-based	disease	disease	diet may help prevent chronic obstructive pulmonary	
T-1699	cancer	cancer	diet	diet	than someone with a low-protein	
T-1699	smoking	smoking	cancer	cancer	is responsible for 90% of lung	
T-1699	mutations	mutations	smoking	smoking	caused by	
T-1699	variety	variety	cancer	cancer	of serious illnesses, including	
T-1699	mortality	mortality	smoking	smoking	risk factor comparable to	
T-1699	death	death	surgeon general	surgeon general	of countless smokers before the first	
T-1699	gerd	gerd	reflux	reflux	(gastroesophageal	
T-1699	smoking	smoking	cigarettes	cigarettes	five	
T-1699	diet	diet	copd	copd	may help prevent chronic obstructive pulmonary disease (	
T-1699	curcumin	curcumin	turmeric	turmeric	(found in	
T-1699	risk	risk	disease	disease	factor for coronary	
T-1699	variety	variety	seafood	seafood	of serious illnesses, including cancer;	
T-1699	gerd	gerd	disease	disease	(gastroesophageal reflux	
T-1699	ct scan	ct scan	smoking	smoking	is like the risk of	
T-1699	cancer	cancer	marijuana	marijuana	risk, smoking a single joint of	
T-1699	cholesterol	cholesterol	egg	egg	found in a single	
T-1699	turmeric	turmeric	smoking	smoking	) may decrease dna mutations caused by	
T-1699	turmeric	turmeric	dna	dna	) may decrease	
T-1699	death	death	diet	diet	in the u.s., but	
T-1699	plant-based diet	plant-based diet	smoking	smoking	is the nutritional equivalent of quitting	
T-1699	cancer	cancer	smoking	smoking	risk,	
T-1699	dna	dna	mutations	mutations		
