
exercise	exercise	fruits	fruits	is down, and the number of people eating just five servings of	
disease	disease	cancer	cancer	mortality risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart disease,	
disease	disease	heart disease	heart disease	mortality risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from	
risk	risk	death	death	found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart disease, cancer, and all causes of	
risk	risk	disease	disease	found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart	
risk	risk	cancer	cancer	found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart disease,	
risk	risk	cancer	cancer	found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart disease,	
risk	risk	heart disease	heart disease	found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from	
mortality	mortality	death	death	risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart disease, cancer, and all causes of	
mortality	mortality	plant foods	plant foods	risk found that those scoring higher (e.g. more whole	
mortality	mortality	disease	disease	risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart	
mortality	mortality	cancer	cancer	risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart disease,	
mortality	mortality	cancer	cancer	risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart disease,	
mortality	mortality	heart disease	heart disease	risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from	
chronic disease	chronic disease	death	death	mortality risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart disease, cancer, and all causes of	
chronic disease	chronic disease	plant foods	plant foods	mortality risk found that those scoring higher (e.g. more whole	
chronic disease	chronic disease	disease	disease	mortality risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart	
chronic disease	chronic disease	cancer	cancer	mortality risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart disease,	
chronic disease	chronic disease	cancer	cancer	mortality risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from heart disease,	
chronic disease	chronic disease	heart disease	heart disease	mortality risk found that those scoring higher (e.g. more whole plant foods), reduced the risk of dying prematurely from	
mortality	mortality	stroke	stroke	and preventing chronic diseases such as coronary heart disease,	
mortality	mortality	diabetes	diabetes	and preventing chronic diseases such as coronary heart disease, stroke,	
mortality	mortality	cancer	cancer	and preventing chronic diseases such as coronary heart disease, stroke, diabetes, and	
mortality	mortality	cancer	cancer	and preventing chronic diseases such as coronary heart disease, stroke, diabetes, and	
