
T-1838	risk	risk	cataracts	cataracts	factor for coronary disease, alzheimer’s, abdominal aortic aneurysm,	
T-1838	risk	risk	smoking	smoking	factor comparable to	
T-1838	lung cancer	lung cancer	disease	disease	cases and is a risk factor for coronary	
T-1838	plant-based diet	plant-based diet	chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	may help prevent	
T-1838	diet	diet	animal proteins	animal proteins	rich in	
T-1838	smoking	smoking	lung cancer	lung cancer	is responsible for 90% of	
T-1838	death	death	smoking	smoking	in the u.s., but diet has bumped	
T-1838	plant-based	plant-based	chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	diet may help prevent	
T-1838	health	health	green tea	green tea	benefits of	
T-1838	cooking	cooking	heterocyclic amines	heterocyclic amines	of meat, exposes the body to carcinogenic	
T-1838	green tea	green tea	smoking	smoking	may help mitigate the risks of	
T-1838	ct scan	ct scan	risk	risk	is like the	
T-1838	smoking	smoking	marijuana	marijuana	a single joint of	
T-1838	medications	medications	cardiovascular disease	cardiovascular disease	: for example, lifestyle can reduce	
T-1838	cooking	cooking	meat	meat	of	
T-1838	fruit	fruit	meat	meat	and vegetable intake and decreased	
T-1838	reflux	reflux	disease	disease		
T-1838	carcinogens	carcinogens	meat	meat	are also found in fresh unprocessed	
T-1838	cardiovascular disease	cardiovascular disease	risk	risk		
T-1838	mortality	mortality	fruit	fruit	risk factor comparable to smoking.dietary interventions, including increased	
T-1838	plant-based diet	plant-based diet	copd	copd	may help prevent chronic obstructive pulmonary disease (	
T-1838	curcumin	curcumin	mutations	mutations	(found in turmeric) may decrease dna	
T-1838	cancer	cancer	risk	risk		
T-1838	risk	risk	aneurysm	aneurysm	factor for coronary disease, alzheimer’s, abdominal aortic	
T-1838	lung cancer	lung cancer	risk	risk	cases and is a	
T-1838	lung cancer	lung cancer	marijuana	marijuana	risk, smoking a single joint of	
T-1838	diet	diet	chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	may help prevent	
T-1838	tea	tea	smoking	smoking	may help mitigate the risks of	
T-1838	mortality	mortality	risk	risk		
T-1838	dna	dna	smoking	smoking	mutations caused by	
T-1838	medications	medications	risk	risk	: for example, lifestyle can reduce cardiovascular disease	
T-1838	diet	diet	smoking	smoking	has bumped	
T-1838	nitrosamines	nitrosamines	cigarettes	cigarettes	and nitrosamides as five	
T-1838	curcumin	curcumin	dna	dna	(found in turmeric) may decrease	
T-1838	risk	risk	fruit	fruit	factor comparable to smoking.dietary interventions, including increased	
T-1838	plant-based	plant-based	disease	disease	diet may help prevent chronic obstructive pulmonary	
T-1838	cancer	cancer	diet	diet	than someone with a low-protein	
T-1838	smoking	smoking	cancer	cancer	is responsible for 90% of lung	
T-1838	mutations	mutations	smoking	smoking	caused by	
T-1838	variety	variety	cancer	cancer	of serious illnesses, including	
T-1838	mortality	mortality	smoking	smoking	risk factor comparable to	
T-1838	death	death	surgeon general	surgeon general	of countless smokers before the first	
T-1838	gerd	gerd	reflux	reflux	(gastroesophageal	
T-1838	smoking	smoking	cigarettes	cigarettes	five	
T-1838	diet	diet	copd	copd	may help prevent chronic obstructive pulmonary disease (	
T-1838	curcumin	curcumin	turmeric	turmeric	(found in	
T-1838	risk	risk	disease	disease	factor for coronary	
T-1838	variety	variety	seafood	seafood	of serious illnesses, including cancer;	
T-1838	gerd	gerd	disease	disease	(gastroesophageal reflux	
T-1838	ct scan	ct scan	smoking	smoking	is like the risk of	
T-1838	cancer	cancer	marijuana	marijuana	risk, smoking a single joint of	
T-1838	cholesterol	cholesterol	egg	egg	found in a single	
T-1838	turmeric	turmeric	smoking	smoking	) may decrease dna mutations caused by	
T-1838	turmeric	turmeric	dna	dna	) may decrease	
T-1838	death	death	diet	diet	in the u.s., but	
T-1838	plant-based diet	plant-based diet	smoking	smoking	is the nutritional equivalent of quitting	
T-1838	cancer	cancer	smoking	smoking	risk,	
T-1838	dna	dna	mutations	mutations		
