
T-302	soy	soy	phytonutrients	phytonutrients		
T-302	flax	flax	lignans	lignans	seed has by far the highest concentration of	
T-302	risk	risk	wine	wine	from moderate red	
T-302	cell death	cell death	c-erbb2	c-erbb2	go up; and their	
T-302	plant-based diet	plant-based diet	cruciferous vegetables	cruciferous vegetables	including fiber, flax, soy and	
T-302	grapes	grapes	alcohol	alcohol	) and avoid the	
T-302	plant-based diet	plant-based diet	breast cancer	breast cancer	cut their	
T-302	harvard	harvard	risk	risk	women’s health study showed almost no increased	
T-302	meat	meat	fish	fish	(especially chicken and	
T-302	chicken	chicken	eggs	eggs	and fish),	
T-302	wine	wine	aromatase	aromatase	(not white) may suppress the proliferation of	
T-302	red wine	red wine	aromatase	aromatase	(not white) may suppress the proliferation of	
T-302	cholesterol	cholesterol	animal products	animal products	levels and consumption of methionine-containing	
T-302	diet	diet	flax	flax	including fiber,	
T-302	breast cancer	breast cancer	risk	risk	and a 36% lower	
T-302	women	women	fiber	fiber	who ate the highest amount of	
T-302	cancer	cancer	risk	risk	and a 36% lower	
T-302	alcohol	alcohol	cancer	cancer	may increase	
T-302	chicken	chicken	fish	fish	and	
T-302	dairy	dairy	tumor	tumor	may help stifle	
T-302	skin	skin	red wine	red wine	in	
T-302	soy	soy	cruciferous vegetables	cruciferous vegetables	and	
T-302	meat	meat	chicken	chicken	(especially	
T-302	risk	risk	pumpkin seeds	pumpkin seeds	associated with higher consumption of sunflower and	
T-302	health	health	risk	risk	study showed almost no increased	
T-302	risk	risk	red wine	red wine	from moderate	
T-302	brca genes	brca genes	tumor	tumor	are called oncosuppressors (	
T-302	risk	risk	breast cancer	breast cancer	of dying from	
T-302	flax seeds	flax seeds	cancer	cancer	in breast	
T-302	uterine cancer	uterine cancer	blood	blood	and	
T-302	risk	risk	pumpkin	pumpkin	associated with higher consumption of sunflower and	
T-302	cancer	cancer	cell death	cell death		
T-302	tumors	tumors	estrogen	estrogen	to produce their own	
T-302	cancer	cancer	death	death	cell	
T-302	alcohol	alcohol	cancer	cancer	might be a better way to go.	
T-302	alcohol	alcohol	risk	risk	may increase cancer	
T-302	women	women	health	health	’s	
T-302	women	women	cancer	cancer	will be diagnosed with breast	
T-302	plant-based	plant-based	cancer	cancer	diet cut their breast	
T-302	tumor	tumor	methionine	methionine	) of	
T-302	death	death	c-erbb2	c-erbb2	go up; and their	
T-302	plant-based diet	plant-based diet	flax	flax	including fiber,	
T-302	tumors	tumors	soybeans	soybeans	– the equivalent to about a cup of	
T-302	tumor	tumor	death	death	cell proliferation go down; cancer cell	
T-302	women	women	tobacco	tobacco	who checked off certain boxes: (1) avoiding	
T-302	cruciferous vegetables	cruciferous vegetables	cholesterol	cholesterol	while decreasing	
T-302	breast cancer	breast cancer	cancer	cancer	and a 36% lower risk of	
T-302	flax seeds	flax seeds	flax	flax	in breast cancer patients found that	
T-302	cancer	cancer	brca genes	brca genes	works in part by turning off	
T-302	brca genes	brca genes	cancer	cancer	are called oncosuppressors (tumor suppressors) and	
T-302	risk	risk	breast cancer	breast cancer	of	
T-302	women	women	risk	risk	’s health study showed almost no increased	
T-302	risk	risk	cancer	cancer	of breast	
T-302	women	women	cancer	cancer	with breast	
T-302	plant-based	plant-based	diet	diet		
T-302	dna	dna	tumor	tumor	hypermethylation and restore the expression of the	
T-302	fiber	fiber	breast cancer	breast cancer	had up to 85% lower odds of	
T-302	cancer	cancer	women	women	to 3,000	
T-302	diet	diet	breast cancer	breast cancer	cut their	
T-302	plant-based	plant-based	soy	soy	diet including fiber, flax,	
T-302	aromatase	aromatase	estrogen	estrogen	—the enzyme used by breast tumors to produce their own	
T-302	risk	risk	fiber	fiber	was 15% lower per 20/grams of	
T-302	cruciferous vegetables	cruciferous vegetables	animal products	animal products	while decreasing cholesterol levels and consumption of methionine-containing	
T-302	skin	skin	wine	wine	in red	
T-302	tumor	tumor	cell death	cell death	cell proliferation go down; cancer	
T-302	women	women	breast cancer	breast cancer	with	
T-302	risk	risk	cancer	cancer	of	
T-302	risk	risk	lignans	lignans	of breast cancer correlated with higher serum	
T-302	tumors	tumors	ldl	ldl	with higher levels of	
T-302	tumor	tumor	cell proliferation	cell proliferation		
T-302	tumor	tumor	cancer	cancer	cell proliferation go down;	
T-302	health	health	red wine	red wine	study showed almost no increased risk from moderate	
T-302	seeds	seeds	breast cancer	breast cancer	in	
T-302	c-erbb2	c-erbb2	cancer	cancer	score go down—which is a marker of	
T-302	exercise	exercise	diet	diet	and (4) a plant-based	
T-302	diet	diet	vegetables	vegetables	including fiber, flax, soy and cruciferous	
T-302	phytonutrients	phytonutrients	tumors	tumors	to breast cancer	
T-302	soy	soy	cholesterol	cholesterol	and cruciferous vegetables while decreasing	
T-302	harvard	harvard	health	health	women’s	
T-302	diet	diet	soy	soy	including fiber, flax,	
T-302	breast cancer	breast cancer	pumpkin	pumpkin	risk associated with higher consumption of sunflower and	
T-302	phytosterols	phytosterols	seeds	seeds	in the	
T-302	seeds	seeds	cancer	cancer	in breast	
T-302	seeds	seeds	flax	flax	in breast cancer patients found that	
T-302	aromatase	aromatase	produce	produce	—the enzyme used by breast tumors to	
T-302	fiber	fiber	cancer	cancer	had up to 85% lower odds of breast	
T-302	produce	produce	estrogen	estrogen	 their own	
T-302	fish	fish	dairy	dairy	), eggs and	
T-302	brca genes	brca genes	dna	dna	– genes responsible for	
T-302	plant-based	plant-based	flax	flax	diet including fiber,	
T-302	plant-based	plant-based	vegetables	vegetables	diet including fiber, flax, soy and cruciferous	
T-302	breast cancer	breast cancer	pumpkin seeds	pumpkin seeds	risk associated with higher consumption of sunflower and	
T-302	cancer	cancer	flax	flax	patients found that	
T-302	breast cancer	breast cancer	fiber	fiber	risk was 15% lower per 20/grams of	
T-302	cancer	cancer	cholesterol	cholesterol	feeds on	
T-302	plant-based diet	plant-based diet	soy	soy	including fiber, flax,	
T-302	cancer	cancer	flax	flax	to 3,000 women without found that consumption of	
T-302	exercise	exercise	breast cancer	breast cancer	and (4) a plant-based diet cut their	
T-302	cholesterol	cholesterol	alcohol	alcohol	levels and consumption of methionine-containing animal products and	
T-302	cancer	cancer	risk	risk		
T-302	flax	flax	cancer	cancer	alone correlated with a 20-30% reduction in breast	
T-302	dna	dna	tumor suppressor genes	tumor suppressor genes	hypermethylation and restore the expression of the	
T-302	soy	soy	dna	dna	phytonutrients might reverse	
T-302	italy	italy	germany	germany	and	
T-302	plant-based diet	plant-based diet	vegetables	vegetables	including fiber, flax, soy and cruciferous	
T-302	flax	flax	tumor	tumor	group saw, on average, their	
T-302	chicken	chicken	dairy	dairy	and fish), eggs and	
T-302	aromatase	aromatase	tumors	tumors	—the enzyme used by breast	
T-302	tumor	tumor	cancer	cancer	suppressors) and	
T-302	breast cancer	breast cancer	women	women	to 3,000	
T-302	tamoxifen	tamoxifen	uterine cancer	uterine cancer	– but not without severe side-effects such as	
T-302	phytonutrients	phytonutrients	cancer	cancer	to breast	
T-302	cancer	cancer	lignans	lignans	correlated with higher serum	
T-302	cell proliferation	cell proliferation	death	death	go down; cancer cell	
T-302	tumors	tumors	produce	produce	to	
T-302	cancer	cancer	pumpkin seeds	pumpkin seeds	risk associated with higher consumption of sunflower and	
T-302	fish	fish	tumor	tumor	), eggs and dairy may help stifle	
T-302	breast cancer	breast cancer	flax	flax	to 3,000 women without found that consumption of	
T-302	diet	diet	cancer	cancer	cut their breast	
T-302	plant-based	plant-based	fiber	fiber	diet including	
T-302	cancer	cancer	c-erbb2	c-erbb2	cell death go up; and their	
T-302	plant-based diet	plant-based diet	cancer	cancer	cut their breast	
T-302	cancer	cancer	fiber	fiber	risk was 15% lower per 20/grams of	
T-302	cancer	cancer	pumpkin	pumpkin	risk associated with higher consumption of sunflower and	
T-302	pumpkin	pumpkin	seeds	seeds		
T-302	flax seeds	flax seeds	breast cancer	breast cancer	in	
T-302	women	women	cancer	cancer	already diagnosed with breast	
T-302	risk	risk	seeds	seeds	associated with higher consumption of sunflower and pumpkin	
T-302	chicken	chicken	tumor	tumor	and fish), eggs and dairy may help stifle	
T-302	soy	soy	breast cancer	breast cancer	phytonutrients to	
T-302	cholesterol	cholesterol	blood	blood	levels in the	
T-302	plant-based	plant-based	cruciferous vegetables	cruciferous vegetables	diet including fiber, flax, soy and	
T-302	phytonutrients	phytonutrients	breast cancer	breast cancer	to	
T-302	soybeans	soybeans	brca genes	brca genes	– the	
T-302	cell proliferation	cell proliferation	cell death	cell death	go down; cancer	
