
T-1783	soy	soy	supplements	supplements	foods, rather than taking soy	
T-1783	herbalife	herbalife	vitamin a	vitamin a	(for its liver toxicity, possibly due to	
T-1783	vitamin c	vitamin c	supplements	supplements	and airborne	
T-1783	eye	eye	pregnancy	pregnancy	on is iodine, which is especially important during	
T-1783	neurotoxins	neurotoxins	toxins	toxins	and/or liver	
T-1783	zinc	zinc	rice	rice	gel, kombucha tea, noni juice, and	
T-1783	myelopathy	myelopathy	vitamin b12	vitamin b12	is a syndrome coined to describe	
T-1783	zinc	zinc	rice bran	rice bran	gel, kombucha tea, noni juice, and	
T-1783	folate	folate	greens	greens	in beans and	
T-1783	risk	risk	breast cancer	breast cancer	of	
T-1783	folate	folate	folic acid	folic acid	in beans and greens is preferable to	
T-1783	plant-based	plant-based	vitamins	vitamins	diets, there are two	
T-1783	lutein	lutein	creatine	creatine	pills,	
T-1783	risk	risk	cancer	cancer	of breast	
T-1783	liver	liver	vitamin a	vitamin a	toxicity, possibly due to	
T-1783	prostate cancer	prostate cancer	risk	risk		
T-1783	produce	produce	pills	pills	not	
T-1783	antioxidant	antioxidant	vitamin e	vitamin e	vitamin supplements such as	
T-1783	supplements	supplements	liver	liver	exist including: herbalife (for its	
T-1783	lutein	lutein	copper	copper	pills, creatine,	
T-1783	beans	beans	greens	greens	and	
T-1783	blue-green algae	blue-green algae	supplements	supplements		
T-1783	ddt	ddt	industrial pollutants	industrial pollutants	as well as other	
T-1783	phytonutrients	phytonutrients	plants	plants	in	
T-1783	plant-based	plant-based	plants	plants	diets, there are two vitamins not produced by	
T-1783	spirulina	spirulina	liver	liver	and blue-green algae supplements may contain neurotoxins and/or	
T-1783	pcbs	pcbs	mercury	mercury	and	
T-1783	algae	algae	epa	epa	and yeast derived	
T-1783	prostate	prostate	supplements	supplements	cancer risk, and antioxidant vitamin	
T-1783	noni	noni	juice	juice		
T-1783	blue-green algae	blue-green algae	neurotoxins	neurotoxins	supplements may contain	
T-1783	greens	greens	folic acid	folic acid	is preferable to	
T-1783	zinc	zinc	kombucha tea	kombucha tea	gel,	
T-1783	fish	fish	cod	cod	oil,	
T-1783	vegetarian	vegetarian	vitamin b12	vitamin b12	’s myelopathy is a syndrome coined to describe	
T-1783	epa	epa	inflammation	inflammation	and dha, which also lower	
T-1783	vitamin d	vitamin d	tanning beds	tanning beds	from sun but not from	
T-1783	fish	fish	cod liver oil	cod liver oil	oil,	
T-1783	vegans	vegans	iodine	iodine	should keep an eye on is	
T-1783	greens	greens	pills	pills	is preferable to folic acid in	
T-1783	copper	copper	kombucha tea	kombucha tea	supplements (which may contribute to alzheimer’s), zinc gel,	
T-1783	supplements	supplements	airborne supplements	airborne supplements	such as vitamin c and	
T-1783	copper	copper	supplements	supplements		
T-1783	algae	algae	liver	liver	supplements may contain neurotoxins and/or	
T-1783	supplements	supplements	health food stores	health food stores	(including bad advice from	
T-1783	toxins	toxins	chlorella	chlorella	(a safer alternative is	
T-1783	cancer	cancer	risk	risk		
T-1783	herbalife	herbalife	liver	liver	(for its	
T-1783	myelopathy	myelopathy	b12	b12	is a syndrome coined to describe vitamin	
T-1783	yeast	yeast	inflammation	inflammation	derived epa and dha, which also lower	
T-1783	eye	eye	iodine	iodine	on is	
T-1783	algae	algae	supplements	supplements		
T-1783	blue-green algae	blue-green algae	liver	liver	supplements may contain neurotoxins and/or	
T-1783	lutein	lutein	pills	pills		
T-1783	spirulina	spirulina	algae	algae	and blue-green	
T-1783	vitamin d	vitamin d	sun	sun	from	
T-1783	supplements	supplements	erectile dysfunction	erectile dysfunction	may aid	
T-1783	vitamin e	vitamin e	lifespan	lifespan	that may shorten one’s	
T-1783	noni	noni	rice bran	rice bran	juice, and	
T-1783	pcbs	pcbs	toxins	toxins	and mercury (which are neural and cardiac	
T-1783	sun	sun	tanning beds	tanning beds	but not from	
T-1783	vegans	vegans	eye	eye	should keep an	
T-1783	supplements	supplements	fish	fish	is	
T-1783	prostate	prostate	risk	risk	cancer	
T-1783	ayurvedic medicine	ayurvedic medicine	lead	lead	(see also here) has been found to contain	
T-1783	liver	liver	juice	juice	toxicity, possibly due to vitamin a),	
T-1783	supplements	supplements	toxins	toxins	may contain neurotoxins and/or liver	
T-1783	zinc	zinc	juice	juice	gel, kombucha tea, noni	
T-1783	spirulina	spirulina	blue-green algae	blue-green algae	and	
T-1783	citrulline	citrulline	supplements	supplements		
T-1783	vegetarian	vegetarian	myelopathy	myelopathy	’s	
T-1783	epa	epa	dha	dha	and	
T-1783	flax	flax	cholesterol	cholesterol	seed, but not flax seed oil, lowers	
T-1783	variety	variety	supplements	supplements	of other potentially harmful	
